Date	Ping ms	Up MBit	Down MBit
Sun 9 Oct 21:45:14 CEST 2016 	28.328	52.14	6.92
Sun 9 Oct 22:00:50 CEST 2016 	28.206	52.60	6.98
Sun 9 Oct 22:16:26 CEST 2016 	29.841	54.52	7.09
Sun 9 Oct 22:32:01 CEST 2016 	28.048	51.28	6.99
Sun 9 Oct 22:47:36 CEST 2016 	29.828	52.45	7.01
Sun 9 Oct 23:03:11 CEST 2016 	32.068	54.14	6.92
Sun 9 Oct 23:18:46 CEST 2016 	30.533	54.20	6.91
Sun 9 Oct 23:34:21 CEST 2016 	32.203	53.96	7.14
Sun 9 Oct 23:49:57 CEST 2016 	29.758	52.55	6.85
Mon 10 Oct 00:05:32 CEST 2016 	29.246	53.98	6.77
Mon 10 Oct 00:21:07 CEST 2016 	32.059	53.52	7.16
Mon 10 Oct 00:36:43 CEST 2016 	31.132	54.29	7.13
Mon 10 Oct 00:52:18 CEST 2016 	31.912	54.30	7.12
Mon 10 Oct 01:07:53 CEST 2016 	31.737	54.50	7.09
Mon 10 Oct 01:23:28 CEST 2016 	31.743	54.11	7.15
Mon 10 Oct 01:39:04 CEST 2016 	30.271	54.21	7.06
Mon 10 Oct 01:54:39 CEST 2016 	28.207	54.43	7.07
Mon 10 Oct 02:10:13 CEST 2016 	33.324	54.24	7.01
Mon 10 Oct 02:25:48 CEST 2016 	30.04	53.95	7.03
Mon 10 Oct 02:41:22 CEST 2016 	30.68	54.23	7.13
Mon 10 Oct 02:56:57 CEST 2016 	29.684	54.43	7.01
Mon 10 Oct 03:12:35 CEST 2016 	30.294	54.22	7.07
Mon 10 Oct 03:28:09 CEST 2016 	32.888	54.39	7.09
Mon 10 Oct 03:43:45 CEST 2016 	31.658	54.64	7.05
Mon 10 Oct 03:59:19 CEST 2016 	30.592	54.10	6.24
Mon 10 Oct 04:14:56 CEST 2016 	29.672	54.74	5.61
Mon 10 Oct 04:30:33 CEST 2016 	33.859	54.51	7.13
Mon 10 Oct 04:46:08 CEST 2016 	31.901	54.36	7.18
Mon 10 Oct 05:01:43 CEST 2016 	29.464	54.89	7.13
Mon 10 Oct 05:17:18 CEST 2016 	32.298	54.19	7.13
Mon 10 Oct 05:32:54 CEST 2016 	31.581	54.41	7.08
Mon 10 Oct 05:48:28 CEST 2016 	30.095	54.49	7.17
Mon 10 Oct 06:04:04 CEST 2016 	29.299	54.36	5.61
Mon 10 Oct 06:19:40 CEST 2016 	30.745	54.34	5.55
Mon 10 Oct 06:35:18 CEST 2016 	31.762	54.51	7.04
Mon 10 Oct 06:50:53 CEST 2016 	31.573	54.66	5.79
Mon 10 Oct 07:06:30 CEST 2016 	30.536	54.68	7.19
Mon 10 Oct 07:22:06 CEST 2016 	30.776	54.68	6.17
Mon 10 Oct 07:37:42 CEST 2016 	27.168	54.31	6.17
Mon 10 Oct 07:53:18 CEST 2016 	31.447	54.13	7.18
Mon 10 Oct 08:08:54 CEST 2016 	31.423	54.43	7.18
Mon 10 Oct 08:24:29 CEST 2016 	30.884	54.09	7.13
Mon 10 Oct 08:40:04 CEST 2016 	32.663	54.24	7.12
Mon 10 Oct 08:55:40 CEST 2016 	31.793	54.03	7.13
Mon 10 Oct 09:11:15 CEST 2016 	31.009	54.26	7.13
Mon 10 Oct 09:26:50 CEST 2016 	30.52	54.13	7.05
Mon 10 Oct 09:42:25 CEST 2016 	30.841	54.36	7.13
Mon 10 Oct 09:57:59 CEST 2016 	31.044	53.81	7.08
Mon 10 Oct 10:13:34 CEST 2016 	32.492	46.87	7.08
Mon 10 Oct 10:29:11 CEST 2016 	30.883	54.37	7.16
Mon 10 Oct 10:44:46 CEST 2016 	32.087	54.47	7.18
Mon 10 Oct 11:00:22 CEST 2016 	32.805	54.46	7.03
Mon 10 Oct 11:15:56 CEST 2016 	31.474	54.26	7.14
Mon 10 Oct 11:31:32 CEST 2016 	30.759	54.51	6.90
Mon 10 Oct 11:47:07 CEST 2016 	28.434	54.29	6.12
Mon 10 Oct 12:02:43 CEST 2016 	30.341	54.01	7.03
Mon 10 Oct 12:18:18 CEST 2016 	30.409	54.09	6.91
Mon 10 Oct 12:33:53 CEST 2016 	31.011	54.02	6.98
Mon 10 Oct 12:49:29 CEST 2016 	31.411	54.15	7.18
Mon 10 Oct 13:05:05 CEST 2016 	31.197	54.39	7.06
Mon 10 Oct 13:20:39 CEST 2016 	32.391	54.19	7.10
Mon 10 Oct 13:36:15 CEST 2016 	31.064	54.35	6.05
Mon 10 Oct 13:51:52 CEST 2016 	32.142	54.66	7.14
Mon 10 Oct 14:07:27 CEST 2016 	30.004	54.10	7.04
Mon 10 Oct 14:23:07 CEST 2016 	29.762	54.33	7.08
Mon 10 Oct 14:38:42 CEST 2016 	32.004	54.17	6.99
Mon 10 Oct 14:54:17 CEST 2016 	33.114	54.37	6.91
Mon 10 Oct 15:09:52 CEST 2016 	30.846	54.26	6.67
Mon 10 Oct 15:25:27 CEST 2016 	30.226	52.68	7.09
Mon 10 Oct 15:41:03 CEST 2016 	29.403	52.31	7.05
Mon 10 Oct 15:56:38 CEST 2016 	28.844	52.97	6.82
Mon 10 Oct 16:12:13 CEST 2016 	32.693	54.09	7.08
Mon 10 Oct 16:27:49 CEST 2016 	31.18	54.45	7.14
Mon 10 Oct 16:43:25 CEST 2016 	31.92	54.49	6.89
Mon 10 Oct 16:59:00 CEST 2016 	32.902	53.89	7.09
Mon 10 Oct 17:14:36 CEST 2016 	31.115	53.63	7.10
Mon 10 Oct 17:30:12 CEST 2016 	31.71	53.15	7.07
Mon 10 Oct 17:45:48 CEST 2016 	29.832	54.58	7.11
Mon 10 Oct 18:01:22 CEST 2016 	31.319	53.55	7.08
Mon 10 Oct 18:16:58 CEST 2016 	30.663	54.01	7.16
Mon 10 Oct 18:32:33 CEST 2016 	30.214	54.30	5.52
Mon 10 Oct 18:48:09 CEST 2016 	30.403	53.12	7.13
Mon 10 Oct 19:03:45 CEST 2016 	32.1	54.34	7.17
Mon 10 Oct 19:19:20 CEST 2016 	29.873	54.43	7.13
Mon 10 Oct 19:34:55 CEST 2016 	29.745	53.76	7.10
Mon 10 Oct 19:50:31 CEST 2016 	34.564	51.99	7.06
Mon 10 Oct 20:06:06 CEST 2016 	27.787	53.92	7.12
Mon 10 Oct 20:21:42 CEST 2016 	30.994	49.91	7.04
Mon 10 Oct 20:37:18 CEST 2016 	32.417	49.80	7.00
Mon 10 Oct 20:52:55 CEST 2016 	28.854	54.07	7.02
Mon 10 Oct 21:08:29 CEST 2016 	31.41	52.98	7.08
Mon 10 Oct 21:24:05 CEST 2016 	30.221	54.44	7.07
Mon 10 Oct 21:39:40 CEST 2016 	29.308	53.91	7.09
Mon 10 Oct 21:55:15 CEST 2016 	29.175	49.70	7.12
Mon 10 Oct 22:10:52 CEST 2016 	30.432	52.07	7.10
Mon 10 Oct 22:26:29 CEST 2016 	32.486	53.60	7.02
Mon 10 Oct 22:42:04 CEST 2016 	26.965	53.40	7.08
Mon 10 Oct 22:57:39 CEST 2016 	29.263	54.03	7.12
Mon 10 Oct 23:13:15 CEST 2016 	31.631	53.15	7.19
Mon 10 Oct 23:28:51 CEST 2016 	29.525	54.29	7.02
Mon 10 Oct 23:44:26 CEST 2016 	28.627	54.69	7.02
Tue 11 Oct 00:00:01 CEST 2016 	34.676	45.27	7.07
Tue 11 Oct 00:15:40 CEST 2016 	31.112	53.70	7.08
Tue 11 Oct 00:31:15 CEST 2016 	31.053	53.60	7.10
Tue 11 Oct 00:46:50 CEST 2016 	28.514	53.66	6.98
Tue 11 Oct 01:02:25 CEST 2016 	28.43	54.07	7.01
Tue 11 Oct 01:17:59 CEST 2016 	31.492	54.34	7.10
Tue 11 Oct 01:33:36 CEST 2016 	29.152	53.11	7.00
Tue 11 Oct 01:49:11 CEST 2016 	29.668	54.33	7.16
Tue 11 Oct 02:04:46 CEST 2016 	30.636	54.33	7.06
Tue 11 Oct 02:20:21 CEST 2016 	31.587	54.33	5.41
Tue 11 Oct 02:35:56 CEST 2016 	30.635	54.40	7.07
Tue 11 Oct 02:51:30 CEST 2016 	30.56	54.21	6.99
Tue 11 Oct 03:07:06 CEST 2016 	31.641	54.03	7.06
Tue 11 Oct 03:22:40 CEST 2016 	30.13	54.09	7.02
Tue 11 Oct 03:38:15 CEST 2016 	30.217	54.43	7.02
Tue 11 Oct 03:53:49 CEST 2016 	31.061	54.65	7.08
Tue 11 Oct 04:09:24 CEST 2016 	29.163	54.18	7.19
Tue 11 Oct 04:25:00 CEST 2016 	30.688	54.27	6.03
Tue 11 Oct 04:40:36 CEST 2016 	30.692	53.97	7.15
Tue 11 Oct 04:56:13 CEST 2016 	31.615	54.11	5.93
Tue 11 Oct 05:11:50 CEST 2016 	30.132	54.03	7.07
Tue 11 Oct 05:27:25 CEST 2016 	31.393	54.44	7.13
Tue 11 Oct 05:43:00 CEST 2016 	27.9	54.51	6.98
Tue 11 Oct 05:58:35 CEST 2016 	31.936	54.26	7.10
Tue 11 Oct 06:14:10 CEST 2016 	31.171	54.34	7.02
Tue 11 Oct 06:29:45 CEST 2016 	30.147	54.58	6.90
Tue 11 Oct 06:45:20 CEST 2016 	34.204	54.43	7.12
Tue 11 Oct 07:00:55 CEST 2016 	31.619	54.18	7.09
Tue 11 Oct 07:16:30 CEST 2016 	29.772	54.34	7.08
Tue 11 Oct 07:32:05 CEST 2016 	29.836	54.58	7.09
Tue 11 Oct 07:47:40 CEST 2016 	32.58	54.08	7.15
Tue 11 Oct 08:03:16 CEST 2016 	32.228	54.29	7.08
Tue 11 Oct 08:18:51 CEST 2016 	32.186	54.33	7.06
Tue 11 Oct 08:34:26 CEST 2016 	32.385	54.57	6.91
Tue 11 Oct 08:50:29 CEST 2016 	30.923	54.48	7.07
Tue 11 Oct 09:06:04 CEST 2016 	32.67	54.41	7.09
Tue 11 Oct 09:21:39 CEST 2016 	30.052	54.49	7.00
Tue 11 Oct 09:37:14 CEST 2016 	31.316	54.83	7.02
Tue 11 Oct 09:52:48 CEST 2016 	29.756	53.82	7.08
Tue 11 Oct 10:08:23 CEST 2016 	32.641	54.62	7.03
Tue 11 Oct 10:23:59 CEST 2016 	119.979	22.61	4.50
Tue 11 Oct 10:39:51 CEST 2016 	30.561	54.54	6.94
Tue 11 Oct 10:55:26 CEST 2016 	35.799	42.07	6.30
Tue 11 Oct 11:11:08 CEST 2016 	29.86	54.01	6.91
Tue 11 Oct 11:26:43 CEST 2016 	29.571	54.08	7.12
Tue 11 Oct 11:42:19 CEST 2016 	31.762	54.45	7.12
Tue 11 Oct 11:57:54 CEST 2016 	30.611	54.49	7.15
Tue 11 Oct 12:13:29 CEST 2016 	30.754	54.55	7.08
Tue 11 Oct 12:29:04 CEST 2016 	29.299	53.82	6.91
Tue 11 Oct 12:44:39 CEST 2016 	32.414	54.23	7.13
Tue 11 Oct 13:00:15 CEST 2016 	30.184	54.41	7.03
Tue 11 Oct 13:15:49 CEST 2016 	28.199	54.03	5.89
Tue 11 Oct 13:31:25 CEST 2016 	33.063	54.38	7.15
Tue 11 Oct 13:47:01 CEST 2016 	29.308	53.58	6.97
Tue 11 Oct 14:02:41 CEST 2016 	28.743	54.29	7.10
Tue 11 Oct 14:18:16 CEST 2016 	30.125	54.32	5.90
Tue 11 Oct 14:33:53 CEST 2016 	30.503	53.62	7.09
Tue 11 Oct 14:49:29 CEST 2016 	31.967	54.43	5.61
Tue 11 Oct 15:05:10 CEST 2016 	31.469	54.20	7.04
Tue 11 Oct 15:20:45 CEST 2016 	29.997	54.37	6.90
Tue 11 Oct 15:36:20 CEST 2016 	30.092	53.94	7.06
Tue 11 Oct 15:51:55 CEST 2016 	31.084	54.40	7.12
Tue 11 Oct 16:07:30 CEST 2016 	29.24	54.54	7.11
Tue 11 Oct 16:23:05 CEST 2016 	30.694	54.08	7.03
Tue 11 Oct 16:38:40 CEST 2016 	30.733	54.17	7.14
Tue 11 Oct 16:54:15 CEST 2016 	32.654	53.82	6.92
Tue 11 Oct 17:09:50 CEST 2016 	30.238	52.58	7.00
Tue 11 Oct 17:25:26 CEST 2016 	31.962	54.45	7.02
Tue 11 Oct 17:41:01 CEST 2016 	29.401	54.41	7.13
Tue 11 Oct 17:56:37 CEST 2016 	33.788	54.12	7.00
Tue 11 Oct 18:12:12 CEST 2016 	29.699	53.36	5.67
Tue 11 Oct 18:27:49 CEST 2016 	30.186	49.24	6.91
Tue 11 Oct 18:43:26 CEST 2016 	31.146	54.12	7.03
Tue 11 Oct 18:59:01 CEST 2016 	31.369	52.61	6.96
Tue 11 Oct 19:14:36 CEST 2016 	30.236	54.02	6.61
Tue 11 Oct 19:30:12 CEST 2016 	31.14	53.93	7.19
Tue 11 Oct 19:45:50 CEST 2016 	30.952	50.60	7.12
Tue 11 Oct 20:01:26 CEST 2016 	30.806	53.82	6.98
Tue 11 Oct 20:17:01 CEST 2016 	29.862	53.73	7.01
Tue 11 Oct 20:32:36 CEST 2016 	28.814	51.45	7.15
Tue 11 Oct 20:48:12 CEST 2016 	32.607	54.06	5.63
Tue 11 Oct 21:03:52 CEST 2016 	29.866	52.17	6.20
Tue 11 Oct 21:19:29 CEST 2016 	31.081	53.89	7.13
Tue 11 Oct 21:35:04 CEST 2016 	32.123	50.20	6.93
Tue 11 Oct 21:50:41 CEST 2016 	31.079	52.95	7.00
Tue 11 Oct 22:06:16 CEST 2016 	33.495	54.04	6.88
Tue 11 Oct 22:21:51 CEST 2016 	28.734	53.81	7.04	
