Date	Ping ms	Up MBit	Down MBit
Thu 6 Oct 07:42:40 CEST 2016 	26.454	49.19	7.01
Thu 6 Oct 07:58:16 CEST 2016 	26.477	26.56	7.02
Thu 6 Oct 08:13:58 CEST 2016 	27.735	31.44	7.03
Thu 6 Oct 08:29:36 CEST 2016 	26.596	30.83	5.29
Thu 6 Oct 08:45:13 CEST 2016 	48.96	13.29	4.90
Thu 6 Oct 09:01:02 CEST 2016 	28.264	45.37	7.04
Thu 6 Oct 09:16:40 CEST 2016 	30.53	51.79	6.97
Thu 6 Oct 09:32:16 CEST 2016 	27.522	49.05	6.87
Thu 6 Oct 09:47:54 CEST 2016 	28.395	37.22	6.88
Thu 6 Oct 10:03:31 CEST 2016 	27.339	29.12	5.73
Thu 6 Oct 10:19:14 CEST 2016 	26.682	29.42	5.97
Thu 6 Oct 10:34:55 CEST 2016 	28.721	33.84	5.51
Thu 6 Oct 10:50:30 CEST 2016 	26.622	30.82	4.38
Thu 6 Oct 11:06:06 CEST 2016 	27.159	30.75	5.31
Thu 6 Oct 11:21:45 CEST 2016 	27.77	22.86	3.39
Thu 6 Oct 11:37:26 CEST 2016 	26.686	16.21	5.68
Thu 6 Oct 11:53:06 CEST 2016 	27.211	25.23	3.86
Thu 6 Oct 12:08:45 CEST 2016 	0	0	0
Thu 6 Oct 12:23:51 CEST 2016 	27.404	22.57	5.66
Thu 6 Oct 12:39:34 CEST 2016 	26.515	39.57	6.95
Thu 6 Oct 12:55:15 CEST 2016 	28.729	55.42	6.97
Thu 6 Oct 13:10:51 CEST 2016 	27.545	56.42	6.87
Thu 6 Oct 13:26:25 CEST 2016 	31.034	56.54	6.99
Thu 6 Oct 13:42:02 CEST 2016 	28.262	56.26	6.17
Thu 6 Oct 13:57:38 CEST 2016 	27.263	56.01	7.13
Thu 6 Oct 14:13:14 CEST 2016 	0	0	0
Thu 6 Oct 14:28:55 CEST 2016 	0	0	0
Thu 6 Oct 14:44:36 CEST 2016 	0	0	0
Thu 6 Oct 14:59:37 CEST 2016 	31.342	53.96	7.08
Thu 6 Oct 15:15:13 CEST 2016 	30.222	53.58	7.06
Thu 6 Oct 15:30:48 CEST 2016 	30.684	54.27	7.08
Thu 6 Oct 15:46:23 CEST 2016 	30.297	54.79	7.11
Thu 6 Oct 16:01:59 CEST 2016 	28.472	45.57	7.03
Thu 6 Oct 16:17:54 CEST 2016 	30.156	54.22	7.17
Thu 6 Oct 16:33:31 CEST 2016 	27.894	53.84	7.14
Thu 6 Oct 16:49:07 CEST 2016 	28.236	54.13	7.09
Thu 6 Oct 17:04:42 CEST 2016 	28.079	54.52	6.98
Thu 6 Oct 17:20:17 CEST 2016 	28.709	54.26	7.02
Thu 6 Oct 17:35:52 CEST 2016 	27.961	54.15	7.08
Thu 6 Oct 17:51:27 CEST 2016 	28.696	51.13	6.98
Thu 6 Oct 18:07:03 CEST 2016 	28.607	50.95	7.14
Thu 6 Oct 18:22:39 CEST 2016 	31.344	54.07	7.13
Thu 6 Oct 18:38:15 CEST 2016 	29.706	53.79	7.12
Thu 6 Oct 18:53:51 CEST 2016 	29.587	54.23	6.88
Thu 6 Oct 19:09:25 CEST 2016 	31.149	54.01	7.07
Thu 6 Oct 19:25:00 CEST 2016 	28.356	53.89	7.18
Thu 6 Oct 19:40:36 CEST 2016 	30.048	53.27	7.17
Thu 6 Oct 19:56:12 CEST 2016 	31.065	54.41	6.93
Thu 6 Oct 20:11:47 CEST 2016 	30.508	54.34	7.14
Thu 6 Oct 20:27:23 CEST 2016 	32.963	53.73	7.15
Thu 6 Oct 20:42:59 CEST 2016 	29.122	54.07	7.13
Thu 6 Oct 20:58:34 CEST 2016 	29.712	53.89	6.73
Thu 6 Oct 21:14:12 CEST 2016 	28.092	52.96	7.09
Thu 6 Oct 21:29:49 CEST 2016 	32.427	51.28	6.94
Thu 6 Oct 21:45:25 CEST 2016 	29.085	53.76	7.07
Thu 6 Oct 22:01:00 CEST 2016 	29.858	54.22	7.15
Thu 6 Oct 22:16:36 CEST 2016 	30.415	53.64	7.09
Thu 6 Oct 22:32:12 CEST 2016 	31.97	52.23	5.78
Thu 6 Oct 22:47:49 CEST 2016 	31.746	54.06	7.10
Thu 6 Oct 23:03:25 CEST 2016 	32.498	54.20	7.14
Thu 6 Oct 23:19:05 CEST 2016 	33.08	54.06	7.00
Thu 6 Oct 23:34:41 CEST 2016 	29.762	52.46	7.01
Thu 6 Oct 23:50:16 CEST 2016 	30.243	52.52	7.02
Fri 7 Oct 00:05:51 CEST 2016 	29.982	54.37	7.01
Fri 7 Oct 00:21:37 CEST 2016 	28.776	54.08	7.00
Fri 7 Oct 00:37:12 CEST 2016 	30.567	54.08	7.11
Fri 7 Oct 00:52:48 CEST 2016 	29.302	53.89	7.02
Fri 7 Oct 01:08:23 CEST 2016 	26.94	54.07	7.17
Fri 7 Oct 01:23:58 CEST 2016 	30.978	54.59	7.04
Fri 7 Oct 01:39:33 CEST 2016 	31.207	54.36	7.11
Fri 7 Oct 01:55:10 CEST 2016 	29.711	54.50	7.12
